arrival,depart,leg-index,train-id,trip-id
445,411,0,1417,2514
440,418,1,0,21727
444,442,2,3317,6382
502,442,3,0,21734
455,444,4,4308,8329
448,445,5,3317,6382
449,446,6,7213,13265
453,446,7,1714,2989
501,448,8,1417,2514
454,448,9,15808,17293
452,449,10,3317,6382
453,450,11,7213,13265
500,453,12,3317,6382
515,453,13,0,21738
456,454,14,7213,13265
504,454,15,1714,2989
501,455,16,15808,17293
458,456,17,4308,8329
499,457,18,5008,9329
499,457,19,7213,13265
500,458,20,37803,20875
502,458,21,4804,8846
501,459,22,4308,8329
501,459,23,32210,19395
501,500,25,7213,13265
505,500,24,5008,9329
507,501,26,37803,20875
507,501,9,15810,17302
504,501,27,3317,6382
503,502,28,15808,17293
515,502,29,32210,19395
506,502,21,4019,7985
505,502,30,7213,13265
504,502,31,4308,8329
507,503,32,4804,8846
507,504,34,15808,17293
507,504,33,3019,5490
508,505,38,7916,14346
521,505,37,1417,2513
507,505,20,516,628
515,505,35,3317,6382
507,505,36,4308,8329
511,506,39,7213,13265
508,506,40,5008,9329
530,506,41,1714,2991
511,507,32,4019,7985
515,507,42,1816,3290
512,507,43,31301,19034
510,508,48,15808,17293
515,508,47,3019,5490
510,508,49,37803,20875
510,508,46,4308,8329
514,508,16,15810,17302
510,508,17,4310,8336
512,508,45,516,628
513,508,44,4804,8846
514,509,50,7916,14346
512,509,51,5008,9329
512,509,2,2919,5125
513,510,52,5017,9354
513,510,6,7215,13269
513,510,53,37605,20555
520,510,4,14610,16849
518,511,56,15808,17293
512,511,55,37803,20875
513,511,22,4310,8336
519,511,54,4308,8329
515,512,57,8020,14520
514,512,58,4619,8583
516,512,59,7213,13265
516,512,44,4019,7985
514,512,60,14015,16831
515,512,61,5710,10644
519,513,65,31301,19034
515,513,64,5008,9329
526,513,66,516,628
515,513,5,2919,5125
515,513,62,37803,20875
515,513,63,9612,15775
517,514,31,4310,8336
516,514,67,5017,9354
517,514,11,7215,13269
520,514,68,37605,20555
517,514,69,4804,8846
518,515,74,4619,8583
521,515,73,4606,8551
516,515,28,15810,17302
517,515,71,5015,9349
519,515,70,2217,4015
517,515,72,14015,16831
520,516,84,1816,3290
520,516,83,37803,20875
521,516,82,32210,19395
521,516,81,9612,15775
519,516,80,5008,9329
521,516,79,3019,5490
522,516,77,5710,10644
523,516,7,1616,2758
520,516,76,7916,14346
518,516,75,3317,6382
519,516,78,8020,14520
520,517,88,6919,12620
522,517,89,7213,13265
520,517,87,4019,7985
521,517,10,2919,5125
519,517,86,5017,9354
519,517,85,7408,13824
520,517,34,15810,17302
520,518,14,7215,13269
521,518,53,37705,20724
520,518,36,4310,8336
520,518,93,5015,9349
522,518,91,4619,8584
523,518,73,4006,7948
520,518,90,14015,16831
520,518,92,4804,8846
521,519,94,3317,6382
522,519,27,3319,6399
524,519,95,19806,17713
521,519,23,32204,19390
523,519,21,4806,8851
526,520,101,4308,8329
523,520,102,5017,9354
526,520,100,2217,4015
523,520,103,31301,19034
524,520,98,8020,14520
524,520,97,7408,13824
526,520,96,6418,29
529,520,99,30906,18576
523,521,58,6304,11596
523,521,114,5015,9349
527,521,113,14015,16831
525,521,112,4804,8846
526,521,111,7916,14346
523,521,110,2225,4049
523,521,63,5216,9759
524,521,109,37605,20555
523,521,19,7215,13269
524,521,70,5008,9329
528,521,107,37803,20875
523,521,48,15810,17302
524,521,106,4019,7985
528,521,105,1816,3290
523,521,46,4310,8336
523,521,20,37507,20486
523,521,104,6919,12620
525,521,108,15808,17293
527,522,43,31403,19173
527,522,68,37705,20724
525,522,120,4606,8551
530,522,121,3019,5490
528,522,12,2919,5125
535,522,29,32204,19390
529,522,118,6912,12584
528,522,117,3317,6381
530,522,116,7909,14338
528,522,115,9612,15775
528,522,119,32210,19395
526,523,52,5119,9465
528,523,126,7213,13265
525,523,124,4619,8584
537,523,125,1417,2513
529,523,3,1117,2341
529,523,122,5614,10311
526,523,123,5710,10644
525,524,131,32007,19271
525,524,25,7215,13269
529,524,81,5216,9759
530,524,26,37507,20486
532,524,54,4310,8336
528,524,132,6919,12620
525,524,130,31301,19034
526,524,133,5017,9354
531,524,56,15810,17302
529,524,129,4006,7948
534,524,35,3319,6399
527,524,128,5015,9349
526,524,74,6304,11596
528,524,32,4806,8851
527,524,127,2225,4049
535,524,15,1616,2758
529,525,142,8020,14520
528,525,141,6321,11641
527,525,139,4019,7985
527,525,17,14610,16849
529,525,140,4012,7962
530,525,137,19806,17713
529,525,136,7408,13824
531,525,135,5008,9329
529,525,134,37605,20555
529,525,138,4617,8577
532,526,148,31301,19034
530,526,147,4619,8584
528,526,146,32007,19271
527,526,145,15808,17293
528,526,71,5117,9453
529,526,30,7215,13269
532,526,143,4606,8551
528,526,144,4804,8846
529,527,155,4308,8329
535,527,157,3616,7018
530,527,156,7916,14346
531,527,91,6304,11596
530,527,154,5710,10644
529,527,18,5010,9337
534,527,152,2217,4015
536,527,149,516,628
533,527,150,5017,9354
537,527,153,2202,3974
532,527,151,6418,29
531,528,158,37705,20724
530,528,159,15808,17293
531,528,160,2225,4049
534,528,65,31403,19173
533,528,161,5015,9349
529,528,162,4019,7985
530,528,22,14610,16849
536,528,163,14015,16831
531,529,23,32212,19401
532,529,170,32007,19271
536,529,169,1816,3290
533,529,44,4806,8851
533,529,168,6321,11641
531,529,167,6919,12620
534,529,171,9612,15775
535,529,165,7213,13265
533,529,27,2919,5125
531,529,164,4804,8846
531,529,93,5117,9453
531,529,67,5119,9465
532,529,166,3317,6381
533,530,184,4308,8329
537,530,115,5216,9759
535,530,183,8020,14520
535,530,182,8608,14959
537,530,181,32210,19395
534,530,180,4012,7962
533,530,179,4019,7985
536,530,73,5808,10810
532,530,178,4006,7948
535,530,176,37605,20555
537,530,175,6912,12584
537,530,174,7408,13824
536,530,173,30906,18576
535,530,39,7215,13269
535,530,172,31207,18923
535,530,177,5614,10311
535,530,24,5010,9337
537,531,9,15812,17307
535,531,191,4619,8584
546,531,193,818,1641
533,531,49,37507,20486
535,531,192,7909,14338
532,531,28,5710,10644
535,531,190,3019,5490
542,531,13,1117,2341
536,531,188,4617,8577
535,531,187,7916,14346
534,531,31,14610,16849
553,531,186,2221,4027
537,531,185,15808,17293
542,531,189,19806,17713
534,532,200,5008,9329
541,532,199,2225,4049
533,532,198,4804,8846
534,532,114,5117,9453
539,532,197,37105,20062
534,532,124,6304,11596
534,532,195,6610,12000
545,532,29,32212,19401
534,532,86,5119,9465
537,532,194,37705,20724
533,532,196,6919,12620
545,533,205,717,1334
535,533,207,4006,7948
539,533,208,31301,19034
537,533,204,32211,19399
537,533,206,6418,29
543,533,203,1714,2989
539,533,202,37820,20889
535,533,23,3518,6607
535,533,201,32007,19271
536,533,34,5710,10644
539,534,217,5017,9354
536,534,216,4308,8329
539,534,138,5817,10826
537,534,215,32008,19272
538,534,108,15810,17302
535,534,55,37507,20486
544,534,214,6919,12620
537,534,69,4806,8851
539,534,73,2210,3986
537,534,212,4606,8551
538,534,211,5015,9349
540,534,210,6321,11641
537,534,33,3021,5508
552,534,209,2914,5106
539,534,213,4804,8846
538,535,215,32414,19682
538,535,128,5117,9453
537,535,225,2217,4015
538,535,102,5119,9465
538,535,224,5008,9329
537,535,223,4012,7962
600,535,222,2919,5125
536,535,75,3319,6399
538,535,38,7918,14353
540,535,221,9612,15775
538,535,220,6610,12000
540,535,219,7210,13259
540,535,218,4019,7985
540,535,43,31303,19037
539,535,147,6304,11596
538,535,103,31403,19173
538,536,63,9614,15782
542,536,236,3518,6607
543,536,237,7909,14338
539,536,238,31207,18923
538,536,40,5010,9337
538,536,239,4006,7948
540,536,241,9616,15787
542,536,235,4619,8584
538,536,242,32007,19271
538,536,36,14610,16849
541,536,234,3019,5490
543,536,240,1617,2768
539,536,70,5110,9426
538,536,226,37605,20555
542,536,227,7916,14346
545,536,233,3616,7018
600,536,41,1616,2758
537,536,229,8608,14959
541,536,228,5914,11068
542,536,218,3317,6381
542,536,230,5614,10311
538,536,231,6014,11159
539,536,232,8020,14520
538,536,62,37507,20486
539,537,251,30706,18403
540,537,52,5019,9359
545,537,250,516,628
545,537,249,14614,16856
541,537,138,5717,10667
543,537,248,4308,8329
539,537,247,3014,5446
539,537,94,3319,6399
539,537,20,718,1347
539,537,48,5710,10644
539,537,85,7410,13829
543,537,245,30906,18576
545,537,244,1816,3290
541,537,243,14015,16831
541,537,246,4617,8577
542,538,259,4606,8551
542,538,262,37705,20724
541,538,261,7408,13824
544,538,16,15812,17307
540,538,260,32215,19407
541,538,57,8022,14525
540,538,20,37807,20876
541,538,6,7217,13276
545,538,47,3021,5508
544,538,253,32211,19399
541,538,92,4806,8851
541,538,120,5808,10810
541,538,252,32008,19272
540,538,17,4312,8337
547,538,258,2217,4015
540,538,255,4012,7962
541,538,256,32210,19395
539,538,257,8608,14959
543,538,254,6418,29
541,539,130,31403,19173
542,539,269,32007,19271
544,539,272,37605,20555
543,539,83,37507,20486
543,539,50,7918,14353
544,539,271,5216,9759
545,539,270,6610,12000
540,539,145,15810,17302
544,539,81,9614,15782
541,539,133,5119,9465
542,539,2,2921,5142
544,539,268,7417,13839
542,539,51,5010,9337
544,539,161,5117,9453
548,539,263,6014,11159
541,539,58,4621,8596
542,539,264,6611,12002
543,539,59,7215,13269
541,539,265,5008,9329
542,539,266,4006,7948
541,539,46,14610,16849
544,539,267,7212,13261
543,539,138,3310,6372
545,540,280,3014,5446
544,540,283,32515,19813
546,540,135,5110,9426
544,540,282,30706,18403
544,540,45,718,1347
547,540,56,5710,10644
543,540,97,7410,13829
545,540,117,3319,6399
542,540,279,8608,14959
542,540,281,4804,8846
550,540,4,14612,16850
548,540,274,37105,20062
545,540,101,4310,8336
544,540,275,37820,20889
545,540,273,8020,14520
549,540,277,2210,3986
546,540,3,1417,2513
544,540,278,31301,19034
544,540,276,31207,18923
546,541,289,32215,19407
547,541,293,6321,11641
544,541,292,9616,15787
548,541,291,4012,7962
543,541,290,6015,11160
543,541,22,4312,8337
543,541,159,15810,17302
547,541,26,37807,20876
547,541,188,5817,10826
544,541,61,5712,10651
543,541,71,5017,9354
545,541,288,32414,19682
545,541,287,6304,11596
552,541,286,713,1324
547,541,65,31303,19037
543,541,285,7210,13259
547,541,284,4019,7985
545,542,11,7217,13276
546,542,297,2225,4049
547,542,298,14015,16831
544,542,74,4621,8596
547,542,301,6912,12584
547,542,299,5914,11068
544,542,18,5112,9435
549,542,240,5717,10667
549,542,197,37007,19970
548,542,150,5119,9465
544,542,300,7408,13823
544,542,296,32008,19272
548,542,143,5808,10810
546,542,70,2219,4019
545,542,78,8022,14525
544,542,60,14017,16839
546,542,112,4806,8851
547,542,295,32210,19395
547,542,73,4608,8555
550,542,54,14610,16849
548,542,284,4617,8577
546,542,294,5008,9329
545,543,307,32007,19271
546,543,312,4619,8584
546,543,88,6921,12633
549,543,311,5614,10311
549,543,310,6611,12002
547,543,309,4804,8846
553,543,308,3518,6607
548,543,306,37705,20724
546,543,120,3317,6381
544,543,305,8608,14959
545,543,5,2921,5142
551,543,304,7916,14346
545,543,64,5010,9337
547,543,303,4006,7948
549,543,302,4606,8551
548,543,73,4008,7953
550,544,185,15810,17302
559,544,321,2612,4662
547,544,31,4312,8337
546,544,93,5017,9354
546,544,67,5019,9359
545,544,320,7210,13258
607,544,319,1117,2341
545,544,318,30906,18576
545,544,313,6015,11160
608,544,316,1714,2989
550,544,89,7215,13269
548,544,21,3019,5490
549,544,212,4308,8329
549,544,315,37507,20486
606,544,314,1114,2338
549,544,136,7410,13829
554,544,317,2223,4038
557,545,332,32213,19403
547,545,72,14017,16839
551,545,188,3310,6372
557,545,66,718,1347
549,545,91,4621,8596
547,545,335,37820,20889
551,545,334,8608,14959
551,545,115,9614,15782
552,545,336,5216,9759
549,545,331,32211,19399
551,545,333,7212,13261
549,545,211,5117,9453
547,545,337,7408,13823
548,545,329,37605,20555
550,545,322,30706,18403
547,545,323,9616,15787
548,545,324,37207,20142
551,545,77,5712,10651
546,545,28,15812,17307
600,545,330,618,1008
549,545,326,1617,2768
550,545,24,5112,9435
547,545,327,32008,19272
547,545,328,7417,13839
548,545,325,6919,12620
558,546,346,516,628
548,546,347,32515,19813
551,546,79,3021,5508
549,546,348,6015,11160
551,546,82,32212,19401
555,546,350,3114,6072
552,546,351,8020,14520
549,546,14,7217,13276
549,546,352,6610,12000
549,546,345,7210,13258
549,546,349,3014,5446
549,546,155,4310,8336
550,546,98,8022,14525
550,546,76,7918,14353
551,546,338,30906,18576
553,546,7,1718,2995
549,546,80,5010,9337
554,546,340,14614,16856
554,546,339,1816,3290
552,546,342,32414,19682
548,546,343,5423,9929
550,546,166,3319,6399
552,546,344,6304,11596
548,546,341,32007,19271
549,546,243,6908,12582
602,547,359,717,1334
549,547,200,5110,9426
551,547,10,2921,5142
551,547,138,4619,8584
601,547,358,818,1641
558,547,13,1417,2513
549,547,86,5019,9359
554,547,357,7909,14338
612,547,356,714,1329
551,547,52,1119,2347
552,547,355,2225,4049
552,547,354,32215,19407
606,547,209,3516,6603
550,547,353,6617,12031
550,547,34,15812,17307
548,547,144,4806,8851
553,547,143,3317,6381
553,547,100,2219,4019
549,547,114,5017,9354
549,547,104,6921,12633
550,548,36,4312,8337
551,548,371,4006,7947
550,548,90,14017,16839
551,548,372,7408,13823
550,548,49,37807,20876
551,548,374,32008,19272
550,548,373,37820,20889
551,548,120,4608,8555
552,548,246,5817,10826
550,548,370,14015,16831
551,548,53,37707,20726
