from,to,tarif-unit,ix
ut,asd,37,0
rtd,dt,14,1
ekz,bkf,4,2
gv,dt,9,3
lls,almo,16,4
bkf,bkg,0,5
ddr,ddrs,3,6
es,hgl,8,7
asd,shl,19,8
amf,brn,9,9
bkg,hks,4,10
ddrs,sdtb,4,11
hks,hnk,10,12
dt,rtd,14,13
sdtb,sdt,3,14
hgl,aml,14,15
brn,hvs,7,16
almo,almb,2,17
ddr,zwd,2,18
sdt,hbzm,1,19
gn,gerp,2,20
amr,hlo,5,21
almb,almp,4,22
vl,br,2,23
zwd,brd,7,24
hbzm,gnd,3,25
gerp,kw,10,26
hnk,hn,0,27
hvs,hvsm,1,28
br,vry,21,29
gnd,bhdv,3,30
almp,alm,2,31
hlo,cas,7,32
hdr,hdrz,0,33
hvsm,bsmz,6,34
hn,pmo,19,35
alm,almm,0,36
shl,ledn,29,37
es,esk,4,38
bhdv,gr,6,39
brd,rlb,4,40
aml,dv,39,41
lw,gw,13,42
amf,hvl,7,43
cas,utg,4,44
gerp,hrn,4,45
almm,ampo,3,46
hdrz,ana,12,47
bsmz,ndb,0,48
kw,mth,1,49
esk,hgl,4,50
rlb,rtz,3,51
gvc,gv,0,52
gn,gnn,4,53
ampo,wp,9,54
mth,hgz,2,55
ndb,wp,9,56
emn,emnz,4,57
gvc,laa,0,58
gr,akl,5,59
ut,utlr,3,60
ut,uto,3,61
hgz,spm,1,62
ehv,ehs,1,63
rtz,rtb,4,64
hvl,bnn,9,65
hrn,asn,22,66
gv,gvmw,2,67
gnn,swd,7,68
utg,hk,3,69
rtd,sdm,4,70
rtd,rtb,0,71
utlr,utt,2,72
asd,ass,4,73
laa,gvm,4,74
pmo,pmr,0,75
hgl,bn,5,76
uto,hor,9,77
emnz,na,5,78
ana,sgn,9,79
rtb,rtd,0,80
ehs,bet,9,81
vry,vlb,7,82
spm,zb,7,83
gw,akm,5,84
ut,utzl,2,85
gvmw,rsw,2,86
utg,kma,5,87
gvc,vb,3,88
akl,ldm,7,89
utt,vtn,2,90
gvm,vst,6,91
hk,bv,3,92
rtb,rtz,4,93
pmr,pmw,1,94
mt,mes,5,95
wt,mz,7,96
utzl,mas,5,97
na,dln,7,98
ww,atn,12,99
sdm,dt,10,100
wp,dmnz,7,101
rsw,dt,5,102
bnn,bnc,3,103
vb,ypb,4,104
akm,hr,11,105
kma,wm,2,106
zb,vdm,8,107
wp,dmn,7,108
swd,wsm,5,109
vs,vss,0,110
bn,amri,7,111
bv,drh,6,112
vtn,wd,9,113
rtz,rlb,3,114
bet,btl,10,115
zl,hno,12,116
pmw,zdk,10,117
ht,zbm,13,118
vlb,bmr,7,119
ass,asdl,3,120
sgn,hwd,14,121
zl,wz,9,122
hor,hvsp,6,123
vst,dvnk,2,124
ledn,gv,15,125
ldm,bsd,7,126
vss,mdb,6,127
rlb,brd,4,128
ass,zd,6,129
bnc,bnz,2,130
hrl,hrlw,2,131
ypb,ztm,5,132
dt,dtz,0,133
wsm,bf,3,134
sdm,dtz,10,135
mas,bkl,5,136
mes,vk,6,137
hfd,shl,5,138
wm,zzs,3,139
rtd,rtn,5,140
hlm,had,4,141
dln,co,4,142
asdl,shl,12,143
drh,sptn,0,144
dmn,assp,2,145
hrlw,vdl,2,146
dvnk,ledn,3,147
bnz,ltn,5,148
asn,bl,16,149
dtz,sdm,10,150
mz,hze,10,151
dt,gv,9,152
rsd,bgn,13,153
hvsp,hvs,0,154
dmnz,dvd,2,155
amri,aml,2,156
rsd,etn,13,157
swd,bdm,4,158
assp,asdm,1,159
mdb,arn,4,160
brd,zwd,7,161
zzs,kz,1,162
wd,gdg,13,163
sptn,sptz,2,164
bsd,gdm,7,165
zdk,zd,3,166
ztm,ztmo,0,167
had,hil,7,168
hr,wv,11,169
vdl,kmr,4,170
btl,vg,8,171
go,ddn,10,172
atn,vsv,9,173
bkl,ac,12,174
zbm,gdm,9,175
bf,wfm,5,176
wz,hde,9,177
zd,kz,2,178
kz,zd,2,179
rtn,rta,5,180
bmr,ck,10,181
gd,wadt,7,182
co,gbg,7,183
dvd,rai,4,184
asdm,asd,4,185
rsd,ddr,38,186
aml,wdn,5,187
shl,asdl,12,188
vk,hrl,13,189
hwd,amrn,7,190
ledn,ssh,8,191
hno,rat,6,192
mt,std,21,193
bdm,stm,7,194
ht,hto,0,195
ztmo,llzm,2,196
lw,mg,10,197
sptz,bll,2,198
arn,gs,15,199
dtz,dt,0,200
kmr,sog,2,201
vdm,zb,8,202
dv,apd,15,203
vl,tg,5,204
gvc,ledn,15,205
hze,gp,5,206
kz,zzs,1,207
ltn,edc,6,208
ehv,ht,32,209
hil,vh,10,210
zwd,ddr,2,211
shl,hfd,5,212
bll,hlm,3,213
llzm,gd,13,214
mtr,mt,0,215
rai,asdz,0,216
sdm,rtd,4,217
zd,ass,6,218
gr,bhdv,6,219
hto,rs,7,220
vg,ht,4,221
hn,ass,39,222
rta,cps,0,223
dt,rsw,5,224
gv,laa,0,225
wfm,ust,3,226
wdn,nvd,8,227
rsd,odb,7,228
wadt,wad,1,229
hde,ns,9,230
tl,tpsw,2,231
gbg,hdb,6,232
etn,bd,11,233
amrn,amr,0,234
ssh,nvp,11,235
br,hrt,10,236
rat,nvd,14,237
ddn,hglg,3,238
zzs,wm,3,239
shl,asdz,11,240
dn,hmbh,9,241
sog,vk,3,242
gdg,gd,3,243
wv,swk,13,244
vsv,tbg,7,245
asdl,ass,3,246
nm,nml,0,247
asdz,shl,11,248
zl,kpnz,12,249
bl,hgv,14,250
dtc,dtch,2,251
mt,mtn,2,252
tg,rv,7,253
gp,ehv,6,254
cps,nwk,5,255
ck,mmlh,4,256
wad,wadn,0,257
laa,ledn,15,258
hfd,nvp,5,259
nm,nmh,3,260
ac,ashd,2,261
stm,lp,4,262
tpsw,gdm,10,263
bd,bdpb,5,264
rsw,gvmw,2,265
wm,kma,2,266
gdm,bsd,7,267
asd,asdm,4,268
vk,sgl,3,269
rs,ow,12,270
btl,ot,9,271
ust,uhz,5,272
hdb,mrb,8,273
mg,sknd,11,274
zb,spm,7,275
hglg,hgl,2,276
ass,hlm,12,277
edc,ed,2,278
wadn,bsks,2,279
nml,est,8,280
hlm,hlms,0,281
dtch,wl,3,282
hrl,lg,3,283
ass,asd,4,284
bhdv,gnd,3,285
lls,dron,17,286
ledn,vh,8,287
mt,bde,6,288
nmh,mmlh,7,289
ut,utvr,1,290
nwk,gd,9,291
hmbh,hm,0,292
vh,ledn,8,293
gvmw,gv,2,294
mmlh,nmh,7,295
mtn,mes,3,296
gs,bzl,5,297
gd,nwk,9,298
odb,zvb,8,299
ashd,asb,1,300
gdm,cl,8,301
nvp,ssh,11,302
kma,utg,5,303
nvd,rat,14,304
bsks,bsk,2,305
lp,apg,8,306
sgl,mes,3,307
hrt,dn,18,308
hlms,hwzb,5,309
bdpb,zlw,10,310
ns,hd,12,311
nvp,hfd,5,312
utvr,utln,3,313
ehv,tb,37,314
zb,sda,8,315
apd,amf,42,316
bgn,rsd,13,317
tbg,gdr,1,318
rtd,bd,43,319
gnd,hbzm,3,320
lls,alm,24,321
wl,did,6,322
hm,hmh,0,323
lw,dei,4,324
gd,gdg,3,325
asdz,dvd,4,326
mes,sgl,3,327
asdm,asa,2,328
uhz,uhm,3,329
lw,hr,29,330
rv,sm,6,331
vry,br,21,332
bsd,ldm,7,333
bsk,apn,6,334
spm,hgz,1,335
ot,tb,8,336
asb,dvd,2,337
gdr,dtc,5,338
swk,mp,14,339
kpnz,dron,13,340
mes,mtn,3,341
bde,bk,7,342
hlm,ovn,2,343
vh,hil,10,344
hbzm,sdt,1,345
hgv,mp,20,346
lg,egh,2,347
utln,htn,4,348
est,ahz,3,349
ah,ed,17,350
mrb,omn,11,351
ow,o,0,352
nm,nmgo,3,353
mmlh,ck,4,354
bzl,krg,6,355
zl,lls,42,356
nvd,wdn,8,357
std,rm,25,358
ledn,shl,29,359
bnz,bnc,2,360
hwzb,ass,7,361
zvb,zlw,8,362
nmh,nm,3,363
asa,dvd,2,364
zl,mp,28,365
cl,htnc,10,366
hmh,hmbv,3,367
hgl,hglo,2,368
gv,gvc,0,369
nwk,cps,5,370
utg,cas,4,371
dvd,asa,2,372
hgz,mth,2,373
sgl,vk,3,374
ledn,dvnk,3,375
dei,drp,7,376
ovn,zvt,6,377
mtn,mt,2,378
apg,dzw,3,379
tb,tbu,0,380
egh,cvm,2,381
uhm,rd,3,382
hrl,std,19,383
gdg,wd,13,384
ed,edc,2,385
sknd,sk,1,386
zl,kpn,15,387
sm,rm,5,388
ledn,had,25,389
htn,htnc,0,390
zlw,ddzd,15,391
