arrive,depart,leg-index,train-id,trip-id
285,251,0,1417,2514
280,258,1,0,21727
302,282,2,0,21734
284,282,3,3317,6382
295,284,4,4308,8329
288,285,5,3317,6382
289,286,6,7213,13265
293,286,7,1714,2989
301,288,8,1417,2514
294,288,9,15808,17293
292,289,10,3317,6382
293,290,11,7213,13265
315,293,12,0,21738
300,293,13,3317,6382
304,294,14,1714,2989
296,294,15,7213,13265
301,295,16,15808,17293
298,296,17,4308,8329
339,297,18,7213,13265
339,297,19,5008,9329
302,298,20,4804,8846
300,298,21,37803,20875
301,299,22,32210,19395
301,299,23,4308,8329
305,300,25,5008,9329
301,300,24,7213,13265
307,301,26,37803,20875
304,301,27,3317,6382
307,301,9,15810,17302
306,302,20,4019,7985
304,302,28,4308,8329
303,302,29,15808,17293
305,302,30,7213,13265
315,302,31,32210,19395
307,303,32,4804,8846
307,304,34,3019,5490
307,304,33,15808,17293
315,305,38,3317,6382
307,305,37,4308,8329
307,305,21,516,628
321,305,35,1417,2513
308,305,36,7916,14346
308,306,39,5008,9329
330,306,40,1714,2991
311,306,41,7213,13265
315,307,43,1816,3290
311,307,32,4019,7985
312,307,42,31301,19034
310,308,17,4310,8336
310,308,48,37803,20875
310,308,49,15808,17293
310,308,47,4308,8329
314,308,16,15810,17302
315,308,46,3019,5490
312,308,45,516,628
313,308,44,4804,8846
314,309,50,7916,14346
312,309,3,2919,5125
312,309,51,5008,9329
313,310,6,7215,13269
320,310,4,14610,16849
313,310,52,5017,9354
313,310,53,37605,20555
313,311,23,4310,8336
319,311,56,4308,8329
318,311,54,15808,17293
312,311,55,37803,20875
315,312,57,8020,14520
314,312,58,14015,16831
314,312,59,4619,8583
315,312,60,5710,10644
316,312,44,4019,7985
316,312,61,7213,13265
315,313,65,5008,9329
315,313,64,9612,15775
326,313,66,516,628
315,313,5,2919,5125
319,313,62,31301,19034
315,313,63,37803,20875
317,314,67,4804,8846
317,314,11,7215,13269
320,314,68,37605,20555
317,314,28,4310,8336
316,314,69,5017,9354
317,315,73,5015,9349
316,315,29,15810,17302
318,315,74,4619,8583
317,315,71,14015,16831
319,315,70,2217,4015
321,315,72,4606,8551
323,316,7,1616,2758
320,316,84,7916,14346
319,316,83,5008,9329
321,316,82,9612,15775
322,316,81,5710,10644
320,316,80,1816,3290
320,316,78,37803,20875
321,316,77,32210,19395
321,316,76,3019,5490
318,316,75,3317,6382
319,316,79,8020,14520
319,317,88,5017,9354
320,317,89,4019,7985
322,317,87,7213,13265
320,317,33,15810,17302
320,317,85,6919,12620
