from,to,tarif-unit,ix,dist
ut,asd,37,0,35.3
rtd,dt,14,1,11.9
ekz,bkf,4,2,2.3
gv,dt,9,3,7.4
lls,almo,16,4,16.5
bkf,bkg,0,5,1.0
es,hgl,8,6,7.9
ddr,ddrs,3,7,3.4
amf,brn,9,8,8.6
asd,shl,19,9,12.2
bkg,hks,4,10,3.7
ddrs,sdtb,4,11,3.6
hks,hnk,10,12,7.8
dt,rtd,14,13,11.9
hgl,aml,14,14,14.3
sdtb,sdt,3,15,2.4
brn,hvs,7,16,7.0
almo,almb,2,17,1.8
sdt,hbzm,1,18,2.6
ddr,zwd,2,19,2.0
gn,gerp,2,20,1.5
amr,hlo,5,21,5.0
vl,br,2,22,1.6
almb,almp,4,23,3.0
zwd,brd,7,24,7.5
hbzm,gnd,3,25,1.4
hnk,hn,0,26,2.3
gerp,kw,10,27,10.3
hvs,hvsm,1,28,1.5
br,vry,21,29,19.7
almp,alm,2,30,1.8
gnd,bhdv,3,31,2.9
hlo,cas,7,32,6.6
hdr,hdrz,0,33,2.5
hvsm,bsmz,6,34,3.2
hn,pmo,19,35,16.0
alm,almm,0,36,2.0
es,esk,4,37,3.9
shl,ledn,29,38,24.9
aml,dv,39,39,35.4
bhdv,gr,6,40,6.2
brd,rlb,4,41,3.2
lw,gw,13,42,12.1
amf,hvl,7,43,6.1
cas,utg,4,44,4.0
almm,ampo,3,45,3.8
hdrz,ana,12,46,7.9
gerp,hrn,4,47,3.8
bsmz,ndb,0,48,1.7
kw,mth,1,49,1.2
rlb,rtz,3,50,3.1
esk,hgl,4,51,4.1
gvc,gv,0,52,1.2
gn,gnn,4,53,2.2
ampo,wp,9,54,8.1
mth,hgz,2,55,2.0
ndb,wp,9,56,8.5
emn,emnz,4,57,4.9
ut,utlr,3,58,3.3
ut,uto,3,59,2.5
gvc,laa,0,60,1.2
gr,akl,5,61,4.6
ehv,ehs,1,62,2.0
hgz,spm,1,63,1.7
hrn,asn,22,64,20.7
rtz,rtb,4,65,2.3
hvl,bnn,9,66,9.6
utg,hk,3,67,3.1
gv,gvmw,2,68,2.0
gnn,swd,7,69,6.9
asd,ass,4,70,4.4
rtd,rtb,0,71,1.5
rtd,sdm,4,72,4.1
laa,gvm,4,73,2.3
utlr,utt,2,74,1.5
gw,akm,5,75,4.9
pmo,pmr,0,76,1.4
spm,zb,7,77,4.8
ehs,bet,9,78,8.0
ana,sgn,9,79,9.2
rtb,rtd,0,80,1.5
emnz,na,5,81,3.8
vry,vlb,7,82,7.4
uto,hor,9,83,8.4
hgl,bn,5,84,5.2
ut,utzl,2,85,2.1
akl,ldm,7,86,7.2
utg,kma,5,87,4.6
gvmw,rsw,2,88,1.7
gvc,vb,3,89,2.8
gvm,vst,6,90,5.8
rtb,rtz,4,91,2.3
hk,bv,3,92,2.8
utt,vtn,2,93,2.3
pmr,pmw,1,94,1.4
mt,mes,5,95,4.8
wt,mz,7,96,8.0
wp,dmnz,7,97,6.2
na,dln,7,98,6.7
utzl,mas,5,99,5.3
rsw,dt,5,100,4.5
bnn,bnc,3,101,2.4
ww,atn,12,102,10.7
sdm,dt,10,103,10.2
rtz,rlb,3,104,3.1
akm,hr,11,105,10.6
vtn,wd,9,106,8.3
swd,wsm,5,107,4.5
zb,vdm,8,108,6.4
wp,dmn,7,109,6.3
bn,amri,7,110,7.3
kma,wm,2,111,2.7
vs,vss,0,112,2.1
vb,ypb,4,113,2.6
bv,drh,6,114,4.2
bet,btl,10,115,9.6
ht,zbm,13,116,13.3
sgn,hwd,14,117,12.8
zl,hno,12,118,12.3
vlb,bmr,7,119,7.1
pmw,zdk,10,120,9.0
ass,asdl,3,121,3.5
vst,dvnk,2,122,2.9
ledn,gv,15,123,15.3
zl,wz,9,124,8.3
ldm,bsd,7,125,7.1
hor,hvsp,6,126,4.3
vss,mdb,6,127,3.7
hrl,hrlw,2,128,1.7
dt,dtz,0,129,1.9
ass,zd,6,130,5.8
ypb,ztm,5,131,5.9
bnc,bnz,2,132,1.5
rlb,brd,4,133,3.2
wsm,bf,3,134,3.4
mes,vk,6,135,5.9
rtd,rtn,5,136,2.1
wm,zzs,3,137,2.4
hfd,shl,5,138,4.5
sdm,dtz,10,139,8.3
mas,bkl,5,140,5.0
hlm,had,4,141,3.8
dln,co,4,142,3.7
hrlw,vdl,2,143,1.9
asdl,shl,12,144,7.3
dmn,assp,2,145,1.8
drh,sptn,0,146,1.0
bnz,ltn,5,147,5.1
dvnk,ledn,3,148,2.7
hvsp,hvs,0,149,1.1
amri,aml,2,150,2.0
rsd,bgn,13,151,12.4
dt,gv,9,152,7.4
dmnz,dvd,2,153,1.5
dtz,sdm,10,154,8.3
rsd,etn,13,155,12.9
mz,hze,10,156,10.0
asn,bl,16,157,15.6
assp,asdm,1,158,1.2
wd,gdg,13,159,13.0
brd,zwd,7,160,7.5
zzs,kz,1,161,1.2
mdb,arn,4,162,3.7
swd,bdm,4,163,3.9
hr,wv,11,164,10.8
sptn,sptz,2,165,1.6
btl,vg,8,166,8.1
bsd,gdm,7,167,5.6
zdk,zd,3,168,2.0
had,hil,7,169,6.9
ztm,ztmo,0,170,1.1
vdl,kmr,4,171,3.6
dvd,rai,4,172,3.5
gd,wadt,7,173,3.9
co,gbg,7,174,7.3
bmr,ck,10,175,10.2
atn,vsv,9,176,8.4
rtn,rta,5,177,5.0
kz,zd,2,178,2.3
go,ddn,10,179,9.6
bkl,ac,12,180,11.9
zd,kz,2,181,2.3
zbm,gdm,9,182,8.3
wz,hde,9,183,8.9
bf,wfm,5,184,4.6
aml,wdn,5,185,4.2
rsd,ddr,38,186,33.0
shl,asdl,12,187,7.3
asdm,asd,4,188,2.9
ledn,ssh,8,189,6.0
hno,rat,6,190,5.5
mt,std,21,191,20.0
vk,hrl,13,192,10.3
hwd,amrn,7,193,4.9
bdm,stm,7,194,6.6
ztmo,llzm,2,195,1.7
dtz,dt,0,196,1.9
arn,gs,15,197,15.3
ht,hto,0,198,2.0
sptz,bll,2,199,1.7
lw,mg,10,200,9.1
kmr,sog,2,201,1.7
hze,gp,5,202,4.1
vdm,zb,8,203,6.4
gvc,ledn,15,204,14.3
kz,zzs,1,205,1.2
ltn,edc,6,206,5.5
vl,tg,5,207,3.5
dv,apd,15,208,14.0
rai,asdz,0,209,1.2
bll,hlm,3,210,2.0
zwd,ddr,2,211,2.0
llzm,gd,13,212,13.1
ehv,ht,32,213,30.4
shl,hfd,5,214,4.5
mtr,mt,0,215,1.5
sdm,rtd,4,216,4.1
hil,vh,10,217,10.3
hn,ass,39,218,32.0
dt,rsw,5,219,4.5
hto,rs,7,220,3.8
zd,ass,6,221,5.8
vg,ht,4,222,3.9
gv,laa,0,223,1.7
rta,cps,0,224,2.1
gr,bhdv,6,225,6.2
wfm,ust,3,226,3.0
ddn,hglg,3,227,3.9
etn,bd,11,228,10.2
amrn,amr,0,229,1.8
zzs,wm,3,230,2.4
ssh,nvp,11,231,10.0
wadt,wad,1,232,1.9
gbg,hdb,6,233,5.2
tl,tpsw,2,234,2.7
hde,ns,9,235,8.5
dn,hmbh,9,236,6.3
shl,asdz,11,237,8.2
rsd,odb,7,238,7.4
br,hrt,10,239,9.9
wdn,nvd,8,240,8.8
sog,vk,3,241,3.2
rat,nvd,14,242,12.8
dtc,dtch,2,243,2.5
bl,hgv,14,244,13.8
zl,kpnz,12,245,12.5
vsv,tbg,7,246,6.7
asdl,ass,3,247,3.5
gdg,gd,3,248,2.5
nm,nml,0,249,2.1
wv,swk,13,250,12.4
asdz,shl,11,251,8.2
laa,ledn,15,252,13.6
ck,mmlh,4,253,4.4
mt,mtn,2,254,2.4
gp,ehv,6,255,5.5
tg,rv,7,256,7.6
nm,nmh,3,257,2.1
cps,nwk,5,258,2.6
ac,ashd,2,259,2.5
wad,wadn,0,260,1.2
hfd,nvp,5,261,5.4
stm,lp,4,262,4.1
